    81    0.21072E+04    0.47146E+00    0.19879E-02   -0.11025E+02
    82    0.21336E+04    0.48611E+00    0.20375E-02   -0.11580E+02
    83    0.21602E+04    0.50086E+00    0.20877E-02   -0.12143E+02
    84    0.21871E+04    0.51570E+00    0.21385E-02   -0.12714E+02
    85    0.22142E+04    0.53060E+00    0.21900E-02   -0.13293E+02
    86    0.22414E+04    0.54559E+00    0.22421E-02   -0.13879E+02
    87    0.22691E+04    0.56062E+00    0.22948E-02   -0.14471E+02
    88    0.22968E+04    0.57571E+00    0.23482E-02   -0.15069E+02
    89    0.23249E+04    0.59084E+00    0.24022E-02   -0.15674E+02
    90    0.23531E+04    0.60599E+00    0.24568E-02   -0.16284E+02
    91    0.23815E+04    0.62112E+00    0.25121E-02   -0.16900E+02
    92    0.24103E+04    0.63625E+00    0.25680E-02   -0.17520E+02
    93    0.24393E+04    0.65135E+00    0.26246E-02   -0.18146E+02
    94    0.24683E+04    0.66638E+00    0.26818E-02   -0.18774E+02
    95    0.24977E+04    0.68136E+00    0.27397E-02   -0.19407E+02
    96    0.25270E+04    0.69626E+00    0.27983E-02   -0.20044E+02
    97    0.25568E+04    0.71108E+00    0.28575E-02   -0.20683E+02
    98    0.25868E+04    0.72579E+00    0.29173E-02   -0.21322E+02
    99    0.26169E+04    0.74037E+00    0.29779E-02   -0.21965E+02
   100    0.26473E+04    0.75482E+00    0.30391E-02   -0.22607E+02
   101    0.26778E+04    0.76920E+00    0.31010E-02   -0.23251E+02
   102    0.27088E+04    0.78335E+00    0.31636E-02   -0.23895E+02
   103    0.27398E+04    0.79735E+00    0.32269E-02   -0.24540E+02
   104    0.27710E+04    0.81121E+00    0.32909E-02   -0.25183E+02
   105    0.28023E+04    0.82485E+00    0.33556E-02   -0.25824E+02
   106    0.28338E+04    0.83834E+00    0.34209E-02   -0.26465E+02
   107    0.28653E+04    0.85154E+00    0.34870E-02   -0.27102E+02
   108    0.28971E+04    0.86452E+00    0.35538E-02   -0.27737E+02
   109    0.29291E+04    0.87720E+00    0.36214E-02   -0.28368E+02
   110    0.29611E+04    0.88959E+00    0.36896E-02   -0.28995E+02
   111    0.29933E+04    0.90176E+00    0.37586E-02   -0.29617E+02
   112    0.30256E+04    0.91364E+00    0.38283E-02   -0.30236E+02
   113    0.30582E+04    0.92523E+00    0.38988E-02   -0.30848E+02
   114    0.30908E+04    0.93645E+00    0.39700E-02   -0.31454E+02
   115    0.31236E+04    0.94745E+00    0.40420E-02   -0.32054E+02
   116    0.31565E+04    0.95801E+00    0.41147E-02   -0.32646E+02
   117    0.31896E+04    0.96820E+00    0.41882E-02   -0.33229E+02
   118    0.32229E+04    0.97817E+00    0.42625E-02   -0.33806E+02
   119    0.32562E+04    0.98778E+00    0.43376E-02   -0.34373E+02
   120    0.32896E+04    0.99688E+00    0.44134E-02   -0.34930E+02
   121    0.33230E+04    0.10058E+01    0.44900E-02   -0.35477E+02
   122    0.33565E+04    0.10141E+01    0.45675E-02   -0.36014E+02
   123    0.33901E+04    0.10220E+01    0.46457E-02   -0.36540E+02
   124    0.34237E+04    0.10296E+01    0.47248E-02   -0.37053E+02
   125    0.34574E+04    0.10367E+01    0.48047E-02   -0.37555E+02
   126    0.34911E+04    0.10435E+01    0.48854E-02   -0.38044E+02
   127    0.35248E+04    0.10497E+01    0.49669E-02   -0.38521E+02
   128    0.35586E+04    0.10556E+01    0.50493E-02   -0.38984E+02
   129    0.35924E+04    0.10609E+01    0.51325E-02   -0.39433E+02
   130    0.36262E+04    0.10658E+01    0.52166E-02   -0.39867E+02
   131    0.36600E+04    0.10703E+01    0.53015E-02   -0.40288E+02
   132    0.36939E+04    0.10742E+01    0.53873E-02   -0.40691E+02
   133    0.37277E+04    0.10778E+01    0.54739E-02   -0.41081E+02
   134    0.37615E+04    0.10809E+01    0.55615E-02   -0.41452E+02
   135    0.37953E+04    0.10834E+01    0.56499E-02   -0.41807E+02
   136    0.38290E+04    0.10855E+01    0.57392E-02   -0.42142E+02
   137    0.38627E+04    0.10871E+01    0.58294E-02   -0.42461E+02
   138    0.38963E+04    0.10882E+01    0.59205E-02   -0.42761E+02
   139    0.39297E+04    0.10890E+01    0.60125E-02   -0.43041E+02
   140    0.39631E+04    0.10892E+01    0.61055E-02   -0.43303E+02
   141    0.39964E+04    0.10888E+01    0.61993E-02   -0.43545E+02
   142    0.40297E+04    0.10880E+01    0.62941E-02   -0.43766E+02
   143    0.40629E+04    0.10868E+01    0.63898E-02   -0.43967E+02
   144    0.40959E+04    0.10851E+01    0.64864E-02   -0.44148E+02
   145    0.41287E+04    0.10830E+01    0.65840E-02   -0.44307E+02
   146    0.41616E+04    0.10803E+01    0.66825E-02   -0.44445E+02
   147    0.41942E+04    0.10773E+01    0.67819E-02   -0.44560E+02
   148    0.42266E+04    0.10737E+01    0.68823E-02   -0.44654E+02
   149    0.42590E+04    0.10697E+01    0.69837E-02   -0.44725E+02
   150    0.42911E+04    0.10654E+01    0.70861E-02   -0.44771E+02
   151    0.43230E+04    0.10606E+01    0.71894E-02   -0.44795E+02
   152    0.43547E+04    0.10553E+01    0.72936E-02   -0.44796E+02
   153    0.43862E+04    0.10496E+01    0.73989E-02   -0.44771E+02
   154    0.44175E+04    0.10436E+01    0.75051E-02   -0.44723E+02
   155    0.44486E+04    0.10372E+01    0.76123E-02   -0.44650E+02
   156    0.44793E+04    0.10304E+01    0.77205E-02   -0.44553E+02
   157    0.45099E+04    0.10233E+01    0.78296E-02   -0.44430E+02
   158    0.45403E+04    0.10159E+01    0.79398E-02   -0.44282E+02
   159    0.45704E+04    0.10081E+01    0.80509E-02   -0.44109E+02
   160    0.46002E+04    0.99993E+00    0.81630E-02   -0.43910E+02
   161    0.46298E+04    0.99159E+00    0.82762E-02   -0.43685E+02
   162    0.46591E+04    0.98290E+00    0.83903E-02   -0.43436E+02
   163    0.46882E+04    0.97391E+00    0.85054E-02   -0.43160E+02
   164    0.47169E+04    0.96472E+00    0.86215E-02   -0.42858E+02
   165    0.47455E+04    0.95523E+00    0.87386E-02   -0.42530E+02
   166    0.47737E+04    0.94561E+00    0.88567E-02   -0.42175E+02
   167    0.48017E+04    0.93564E+00    0.89758E-02   -0.41795E+02
   168    0.48293E+04    0.92567E+00    0.90959E-02   -0.41388E+02
   169    0.48565E+04    0.91542E+00    0.92170E-02   -0.40953E+02
   170    0.48834E+04    0.90510E+00    0.93391E-02   -0.40493E+02
   171    0.49099E+04    0.89472E+00    0.94621E-02   -0.40004E+02
   172    0.49359E+04    0.88421E+00    0.95862E-02   -0.39488E+02
   173    0.49615E+04    0.87356E+00    0.97112E-02   -0.38946E+02
   174    0.49868E+04    0.86307E+00    0.98373E-02   -0.38377E+02
   175    0.50117E+04    0.85244E+00    0.99643E-02   -0.37780E+02
   176    0.50361E+04    0.84191E+00    0.10092E-01   -0.37156E+02
   177    0.50600E+04    0.83138E+00    0.10221E-01   -0.36506E+02
   178    0.50835E+04    0.82109E+00    0.10351E-01   -0.35828E+02
   179    0.51065E+04    0.81073E+00    0.10482E-01   -0.35123E+02
   180    0.51292E+04    0.80054E+00    0.10614E-01   -0.34392E+02
   181    0.51514E+04    0.79051E+00    0.10747E-01   -0.33635E+02
   182    0.51731E+04    0.78071E+00    0.10881E-01   -0.32850E+02
   183    0.51942E+04    0.77107E+00    0.11015E-01   -0.32040E+02
   184    0.52150E+04    0.76167E+00    0.11151E-01   -0.31203E+02
   185    0.52353E+04    0.75265E+00    0.11288E-01   -0.30341E+02
   186    0.52548E+04    0.74387E+00    0.11425E-01   -0.29452E+02
   187    0.52741E+04    0.73547E+00    0.11564E-01   -0.28537E+02
   188    0.52929E+04    0.72744E+00    0.11703E-01   -0.27597E+02
   189    0.53111E+04    0.71981E+00    0.11843E-01   -0.26632E+02
   190    0.53292E+04    0.71264E+00    0.11984E-01   -0.25643E+02
   191    0.53463E+04    0.70595E+00    0.12126E-01   -0.24628E+02
   192    0.53630E+04    0.69976E+00    0.12269E-01   -0.23588E+02
   193    0.53792E+04    0.69411E+00    0.12413E-01   -0.22525E+02
   194    0.53950E+04    0.68903E+00    0.12558E-01   -0.21437E+02
   195    0.54101E+04    0.68457E+00    0.12703E-01   -0.20326E+02
   196    0.54247E+04    0.68075E+00    0.12850E-01   -0.19192E+02
   197    0.54388E+04    0.67763E+00    0.12997E-01   -0.18036E+02
   198    0.54524E+04    0.67522E+00    0.13145E-01   -0.16857E+02
   199    0.54655E+04    0.67356E+00    0.13294E-01   -0.15656E+02
   200    0.54781E+04    0.67268E+00    0.13443E-01   -0.14433E+02
   201    0.54901E+04    0.67263E+00    0.13594E-01   -0.13189E+02
   202    0.55015E+04    0.67344E+00    0.13745E-01   -0.11924E+02
   203    0.55124E+04    0.67515E+00    0.13897E-01   -0.10638E+02
   204    0.55226E+04    0.67779E+00    0.14049E-01   -0.93335E+01
   205    0.55322E+04    0.68139E+00    0.14203E-01   -0.80085E+01
   206    0.55413E+04    0.68601E+00    0.14357E-01   -0.66642E+01
   207    0.55497E+04    0.69166E+00    0.14512E-01   -0.53011E+01
   208    0.55575E+04    0.69839E+00    0.14667E-01   -0.39197E+01
   209    0.55647E+04    0.70622E+00    0.14823E-01   -0.25205E+01
   210    0.55712E+04    0.71521E+00    0.14980E-01   -0.11041E+01
   211    0.55772E+04    0.72538E+00    0.15138E-01    0.32917E+00
   212    0.55824E+04    0.73677E+00    0.15296E-01    0.17785E+01
   213    0.55871E+04    0.74941E+00    0.15454E-01    0.32439E+01
   214    0.55912E+04    0.76331E+00    0.15614E-01    0.47242E+01
   215    0.55946E+04    0.77865E+00    0.15774E-01    0.62186E+01
   216    0.55974E+04    0.79525E+00    0.15934E-01    0.77277E+01
   217    0.55997E+04    0.81325E+00    0.16095E-01    0.92494E+01
   218    0.56013E+04    0.83268E+00    0.16257E-01    0.10784E+02
   219    0.56023E+04    0.85351E+00    0.16419E-01    0.12332E+02
   220    0.56028E+04    0.87590E+00    0.16581E-01    0.13890E+02
   221    0.56026E+04    0.89978E+00    0.16744E-01    0.15460E+02
   222    0.56018E+04    0.92529E+00    0.16908E-01    0.17039E+02
   223    0.56003E+04    0.95236E+00    0.17071E-01    0.18630E+02
   224    0.55984E+04    0.98099E+00    0.17236E-01    0.20227E+02
   225    0.55958E+04    0.10113E+01    0.17401E-01    0.21835E+02
   226    0.55926E+04    0.10434E+01    0.17566E-01    0.23449E+02
   227    0.55887E+04    0.10771E+01    0.17731E-01    0.25071E+02
   228    0.55843E+04    0.11126E+01    0.17897E-01    0.26699E+02
   229    0.55793E+04    0.11498E+01    0.18063E-01    0.28333E+02
   230    0.55737E+04    0.11888E+01    0.18229E-01    0.29972E+02
   231    0.55674E+04    0.12296E+01    0.18396E-01    0.31616E+02
   232    0.55606E+04    0.12723E+01    0.18563E-01    0.33264E+02
   233    0.55532E+04    0.13169E+01    0.18730E-01    0.34913E+02
   234    0.55450E+04    0.13634E+01    0.18898E-01    0.36565E+02
   235    0.55363E+04    0.14118E+01    0.19066E-01    0.38219E+02
   236    0.55270E+04    0.14621E+01    0.19233E-01    0.39873E+02
